"","V1","V2","V3","V4","V5","V6"
"40","It's the insistence that these rights, while self-evident, have never been self-executing;","They can guide you any way they want to guide you.","It's our right, as a sovereign nation to chose immigrants that we think are the likeliest to thrive and flourish and love us.","They can guide you any way they want to guide you.","And this, the United States of America, is your country.","Let me tell you who it does not serve."
"41","that we, the people, through the instrument of our democracy, can form a more perfect Union.","We will seek friendship and good will with the nations of the world, but we do so with the understanding that it is the right of all nations to put their own interests first.","It's our right, as a sovereign nation to chose immigrants that we think are the likeliest to thrive and flourish and love us.","An ideological certification to make sure that those we are admitting to our country share our values and love our people.","Russia will have much greater respect for our country when I'm leading it than when other people have led it.","and while they celebrated in our Nation's Capital, there was little to celebrate for struggling families all across our land."
"42","What a radical idea, a great gift that our Founders gave to us: The freedom to chase our individual dreams through our sweat and toil and imagination, and the imperative to strive together, as well, to achieve a common good, a greater good.","My pledge reads: I'M WITH YOU – THE AMERICAN PEOPLE.","and while they celebrated in our Nation's Capital, there was little to celebrate for struggling families all across our land.","I choose to recite a different pledge.","Together we can save American lives, American jobs, and American futures.","An ideological certification to make sure that those we are admitting to our country share our values and love our people."
"43","For 240 years, our Nation's call to citizenship has given work and purpose to each new generation.","She was invited.","This will require rethinking the failed policies of the past.","their triumphs have not been your triumphs;","Weak and foolish policies.","She was invited."
"44","It's what led patriots to choose republic over tyranny, pioneers to trek west, slaves to brave that makeshift railroad to freedom.","In Libya, our consulate – the symbol of American prestige around the globe – was brought down in flames.","And across.","Let's get unemployed Americans off the welfare and back to work in their own country.","Now let us consider the state of affairs abroad.","We have 2nd generation B-52 bombers – their fathers flew the same plane."
"45","It's what pulled immigrants and refugees across oceans and the Rio Grande.","We're not dropping them right across.","Now let us consider the state of affairs abroad.","And across.","Go ahead.","Yes."
"46","It's what pushed women to reach for the ballot.","From this day forward, a new vision will govern our land.","And immediately the word got out that I had a meeting.","And immediately the word got out that I had a meeting.","And I don't care as long as it's within the United States.","And I thought that was important to put out."
"47","It's what powered workers to organize.","Today, it’s just 182,000.","In 2009, pre-Hillary, ISIS was not even on the map.","Today, the Navy has just 276 ships.","Today, it’s just 182,000.","Syria was under control."
"48","It's why GIs gave their lives at Omaha Beach and Iwo Jima, Iraq and Afghanistan, and why men and women from Selma to Stonewall were prepared to give theirs as well.","Today, it’s just 182,000.","ISIS has spread across the region, and the world.","What have the decisions of Obama-Clinton produced?","In 2009, pre-Hillary, ISIS was not even on the map.","Instead, we must choose to Believe In America."
"49","So that's what we mean when we say America's exceptional: not that our Nation has been flawless from the start, but that we have shown the capacity to change and make life better for those who follow.","Today, it’s just 182,000.","We have 2nd generation B-52 bombers – their fathers flew the same plane.","ISIS has spread across the region, and the world.","The same people.","In 2009, pre-Hillary, ISIS was not even on the map."
"50","Yes, our progress has been uneven.","Any other child.","I am so glad to be back in Arizona.","Our country will thrive and prosper again.","I am so glad to be back in Arizona.","It's time to deliver a victory for the American people."
"51","The work of democracy has always been hard.","Go ahead.","This is your day.","Join me in this mission, we're going to make America great again.","Choose me.","Go ahead."
"52","It's always been contentious.","Zero tolerance for criminal aliens.","Zero tolerance for criminal aliens.","thousands of more violent, horrible crimes;","That's a horrible thing.","thousands of more violent, horrible crimes;"
"53","Sometimes it's been bloody.","Lives ruined.","What the hell are we doing?","We make bad deals.","What the hell are we doing?","We make bad deals."
"54","For every two steps forward, it often feels we take one step back.","History is watching us now.","And now we are looking only to the future.","We, assembled here today, are issuing a new decree to be heard in every city, in every foreign capital, and in every hall of power.","We've met with numerous candidates.","That's what it is."
"55","But the long sweep of America has been defined by forward motion, a constant widening of our founding creed to embrace all and not just some.","So the easiest thing would to be to let it implode in '17 and, believe me, we would get pretty much whatever we wanted but it would take a long time.","We share one heart, one home, and one glorious destiny.","So the easiest thing would to be to let it implode in '17 and, believe me, we would get pretty much whatever we wanted but it would take a long time.","We're in many, many countries and I'm very proud of it.","From this day forward, a new vision will govern our land."
"56","If I had told you 8 years ago that America would reverse a great recession, reboot our auto industry, and unleash the longest stretch of job creation in our history;","That all changes, starting right here and right now, because this moment is your moment: It belongs to you.","This is your day.","Together, we will have one great American future.","It belongs to everyone gathered here today and everyone watching all across America.","Remember that."
"57","if I had told you that we would open up a new chapter with the Cuban people, shut down Iran's nuclear weapons program without firing a shot, take out the mastermind of 9/11;","What you should do is go down to federal elections and take a look at the numbers.","0 Grade Point Average.","You know that story.","It belongs to everyone gathered here today and everyone watching all across America.","Of all my travels in this country, nothing has affected me more deeply than the time I have spent with the mothers and fathers who have lost their children to violence spilling across our border, which we can solve."
"58","if I had told you that we would win marriage equality and secure the right to health insurance for another 20 million of our fellow citizens—if I had told you all that, you might have said our sights were set a little too high.","It's because of him that I learned, from my youngest age, to respect the dignity of work and the dignity of working people.","It is time to show the whole world that America Is Back – bigger, and better and stronger than ever before.","When I am President, I will work to ensure that all of our kids are treated equally, and protected equally.","We can accomplish these great things, and so much else – all we need to do is start believing in ourselves and in our country again.","Together we can save American lives, American jobs, and American futures."
"59","But that's what we did.","I have many people from Mexico working for me.","But I don't want to do that.","Hard to believe.","I think you care.","The same people."
"60","That's what you did.","On the fence.","OK, go ahead.","OK.","OK, go ahead.","He shouldn't be doing it."
"61","You were the change.","Our government has no idea.","I've been hearing it.","I've been hearing it.","Our government has no idea.","Gangs will disappear."
"62","You answered people's hopes, and because of you, by almost every measure, America is a better, stronger place than it was when we started.","Together, we will have one great American future.","This is your day.","From this this day forward, it's going to be only America first.","Together, we will have one great American future.","It's waiting to see if we will rise to the occasion, and if we will show the whole world that America is still free and independent and strong."
"63","In 10 days, the world will witness a hallmark of our democracy.","Let me tell you who it does not serve.","Let me tell you who it does not serve.","It's waiting to see if we will rise to the occasion, and if we will show the whole world that America is still free and independent and strong.","She doesn't have the strength or the stamina to make America great again.","And this, the United States of America, is your country."
"64","Audience members.","Wait, wait, wait.","Are you ready?","Are you ready?","Wait, wait, wait.","It didn't happen."
"65","No!","Go ahead.","Go ahead.","November 8.","Thank you.","Go ahead."
"66","The President.","Assimilation, an important word.","So important.","President Eisenhower.","Very important.","So important."
"67","No, no, no, no, no, the peaceful transfer of power from one freely elected President to the next.","The Bible tells us, How good and pleasant it is when God's people live together in unity.","And especially after meeting with their wonderful, wonderful president today.","In this cause, I am proud to have at my side the next Vice President of the United States: Governor Mike Pence of Indiana.","And especially after meeting with their wonderful, wonderful president today.","I'm asking for your support tonight so that I can be your champion in the White House."
"68","I committed to President-elect Trump that my administration would ensure the smoothest possible transition, just as President Bush did for me.","This is such an important state.","I respected the fact that he said that.","To choose immigrants based on merit.","Vice President Pence also has it.","The Democratic National Committee did not do that."
"69","Because it's up to all of us to make sure our Government can help us meet the many challenges we still face.","To ensure assimilation we want to ensure that it works.","To ensure assimilation we want to ensure that it works.","She's going to do nothing.","But it's — I think they're doing very, very well.","Go ahead."
"70","We have what we need to do so.","The same people.","But I don't want to do that.","Families ripped apart.","We have to solve it.","Hard to believe."
"71","We have everything we need to meet those challenges.","Fast-forward to today.","The meeting was over.","Syria was under control.","Syria was under control.","In 2009, pre-Hillary, ISIS was not even on the map."
"72","After all, we remain the wealthiest, most powerful, and most respected nation on Earth.","We will show the whole world how proud we are to be American.","Unlike my opponent, my foreign policy will emphasize diplomacy, not destruction.","Together we can save America itself.","Libya was stable.","Intelligence agencies are vital and very, very important."
"73","Our youth, our drive, our diversity and openness, our boundless capacity for risk and reinvention means that the future should be ours.","And that includes Supreme Court justices and Second Amendment.","And we're going to put those minds together and were going to form a defense.","We stand at the birth of a new millennium, ready to unlock the mysteries of space, to free the Earth from the miseries of disease, and to harness the energies, industries, and technologies of tomorrow.","And we're going to put those minds together and were going to form a defense.","I could actually run my business and run government at the same time."
"74","But that potential will only be realized if our democracy works.","Join me in this mission, we're going to make America great again.","We will make America wealthy again.","Join me in this mission, we're going to make America great again.","America first!","Go ahead."
"75","Only if our politics better reflects the decency of our people.","When you open your heart to patriotism, there is no room for prejudice.","He was released again after the crime, and now he's out there at large.","He was released again after the crime, and now he's out there at large.","So I want to remind everyone what we're fighting for and who we are fighting for.","In other words, if we had leaders that knew what they were doing, which we don't."
"76","Only if all of us, regardless of party affiliation or particular interests, help restore the sense of common purpose that we so badly need right now.","Weak, weak policies.","Weak, weak policies.","She was invited.","This is an incredible movement.","This is an incredible movement."
"77","That's what I want to focus on tonight: the state of our democracy.","This is an incredible movement.","This is an incredible movement.","This is yet one more area where we are headed in a totally opposite direction.","She was invited.","You came by the tens of millions to become part of a historic movement the likes of which the world has never seen before."
"78","Understand, democracy does not require uniformity.","It's failed them on jobs.","Their victories have not been your victories;","Families ripped apart.","Weak, weak policies.","their triumphs have not been your triumphs;"
"79","Our Founders argued.","After four years of Hillary Clinton, what do we have?","The meeting was over.","Fast-forward to today.","Men, women and children viciously mowed down.","Iran was being choked off by economic sanctions."
"80","They quarreled.","The meeting was over.","Not you.","Not you.","Let's go.","Let's go."
"81","Eventually, they compromised.","Not you.","Not you.",", think of it, into the U.","No, not you.",", think of it, into the U."
"82","They expected us to do the same.","Number one, are you ready?","This is our last time.","This is our last time.","The time for empty talk is over.","Number one, are you ready?"
"83","But they knew that democracy does require a basic sense of solidarity: the idea that for all our outward differences, we're all in this together;","Join me in this mission, we're going to make America great again.","And across.","And whether a child is born in the urban sprawl of Detroit or the windswept plains of Nebraska, they look up at the same night sky, they fill their heart with the same dreams, and they are infused with the breath of life by the same almighty Creator.","Go ahead.","It's waiting to see if we will rise to the occasion, and if we will show the whole world that America is still free and independent and strong."
"84","that we rise or fall as one.","Sadly, sadly there is no other way.","Sadly, sadly there is no other way.","It's going to end very, very badly.","It's going to end badly folks.","Our debt to our men and women in uniform is eternal."
"85","There have been moments throughout our history that threatened that solidarity.","It's waiting to see if we will rise to the occasion, and if we will show the whole world that America is still free and independent and strong.","From this this day forward, it's going to be only America first.","And yet, what do we have to show for it?","America is far less safe – and the world is far less stable – than when Obama made the decision to put Hillary Clinton in charge of America's foreign policy.","The oath of office I take today is an oath of allegiance to all Americans."
"86","The beginning of this century has been one of those times.","This is your day.","But that is the past.","Go ahead.","Together, we will have one great American future.","That's what it is."
"87","A shrinking world, growing inequality;","I've seen people destroyed.","Our drug industry has been disastrous.","I've seen people destroyed.","Our drug industry has been disastrous.","Iraq is in chaos."
"88","demographic change, and the specter of terrorism—these forces haven't just tested our security and our prosperity, but are testing our democracy as well.","We're going to take the problem off the shelves for them.","We're going to take the problem off the shelves for them.","To protect us from terrorism, we need to focus on three things.","Iraq was seeing a big, big reduction in violence.","Obamacare is the Democrats' problem."
"89","And how we meet these challenges to our democracy will determine our ability to educate our kids and create good jobs and protect our homeland.","We only want to admit people to our country who will support our values and love our people.","community under the policies of the White House Barack Obama and Hillary Clinton.","community under the policies of the White House Barack Obama and Hillary Clinton.","In Libya, our consulate – the symbol of American prestige around the globe – was brought down in flames.","We only want to admit people to our country who will support our values and love our people."
"90","In other words, it will determine our future.","Let's stop the drugs and the crime from pouring into our country.","It's failed them on crime.","Let's stop the drugs and the crime from pouring into our country.","He was released again after the crime, and now he's out there at large.","So I want to remind everyone what we're fighting for and who we are fighting for."
"91","To begin with, our democracy won't work without a sense that everyone has economic opportunity.","We have to get our drug industry coming back.","Let's protect our social security and Medicare.","I think you care.","And then she'll say, so long, see you in four years.","We have to get our drug industry coming back."
"92","And the good news is that today the economy is growing again.","We have to build safe zones and we'll get the money from Gulf states.","Americans want great schools for their children, safe neighborhoods for their families, and good jobs for themselves.","Like, we did a good job with Carrier and I want to thank you, United Technologies, which owns Carrier.","Washington flourished, but the people did not share in its wealth.","And especially after meeting with their wonderful, wonderful president today."
"93","Wages, incomes, home values, and retirement accounts are all rising again.","God bless you, everybody.","God bless you, everybody.","God bless you, and God bless America.","God bless you.","God bless you."
"94","Poverty is falling again.","Lives ruined.","We make bad deals.","We make bad deals.","What the hell are we doing?","What the hell are we doing?"
"95","The wealthy are paying a fairer share of taxes even as the stock market shatters records.","And we're going to start bidding and we're going to save billions of dollars over a period of time, and we're going to do that with a lot of other industries.","And we're going to start bidding and we're going to save billions of dollars over a period of time, and we're going to do that with a lot of other industries.","Middle-income Americans and businesses will experience profound relief, and taxes will be greatly simplified for everyone, and I mean everyone.","We are going to lift the restrictions on the production of American energy.","We can also stop funding programs that are not authorized in law."
"96","The unemployment rate is near a 10-year low.","In our nation's capital, killings have risen by 50 percent.","That's the largest increase in 25 years.","We're going to fix that.","Excessive regulation is costing our country as much as $2 trillion a year, and we will end it very very quickly.","I'm very much involved with the generals and admirals on the airplane, the F-35."
"97","The uninsured rate has never, ever been lower.","Doubled since Obama took office, our national debt.","Doubled since Obama took office, our national debt.","First of all, you learn very little from a tax return.","Next comes the reform of our tax laws, regulations and energy rules.","It's going to end very, very badly."
"98","Health care costs are rising at the slowest rate in 50 years.","So, I said let's go and have some fun tonight.","So, I said let's go and have some fun tonight.","We have to get our drug industry coming back.","We have to get our drug industry coming back.","We will bring the same economic success to America that Mike brought to Indiana, which is amazing."
"99","And I've said and I mean it: If anyone can put together a plan that is demonstrably better than the improvements we've made to our health care system that covers as many people at less cost, I will publicly support it.","This will produce more than $20 trillion in job creating economic activity over the next four decades.","And this is what we get.","They supply our drugs, but they don't make them here, to a large extent.","Our steelworkers and our miners are going back to work again.","They're leaving left and right."
"100","Because that, after all, is why we serve.","It does not serve you the American people.","It does not serve you the American people.","We will expand the number of border patrol stations significantly.","Let me tell you who it does not serve.","Let me tell you who it does not serve."
"101","Not to score points or take credit, but to make people's lives better.","There, he ended the life of an innocent young girl named Sarah Root.","And put more of them on the border instead of behind desks which is good.","And put more of them on the border instead of behind desks which is good.","Probably a couple in this room as a matter of fact, but I hope not.","Probably a couple in this room as a matter of fact, but I hope not."
"102","But for all the real progress that we've made, we know it's not enough.","We're in many, many countries and I'm very proud of it.","I really — I'm going to work very hard on that we need certain amounts of other things, including a little bit of luck, but I think we're going to do a real job, and I'm very proud of what we've done, and we haven't even gotten there yet.","I said that I will be the greatest jobs producer that God ever created, and I mean that.","So in order to get the wall started, Mexico will pay for the wall.","So we need people that are smart, we need people that are successful and they got successful because, generally speaking, they're smart."
"103","Our economy doesn't work as well or grow as fast when a few prosper at the expense of a growing middle class and ladders for folks who want to get into the middle class.","Over the weekend, I was offered $2 billion to do a deal in DubaI with a very, very, very amazing man, a great, great developer from the Middle East, Hussein Dumak, a friend of mine, great guy, and was offered $2 billion to do a deal in Dubai, a number of deals.","So in order to get the wall started, Mexico will pay for the wall.","But to this Administration, their amazing daughter was just one more American life that wasn't worth protecting.","I have assets that are — and now people have found out how big the company is — I have very little debt, but I have no loans with Russia at all.","So in order to get the wall started, Mexico will pay for the wall."
"104","That's the economic argument.","It's failed them on crime.","Crime will go down.","The crime will stop.","The crime will stop.","Crime will go down."
"105","But stark inequality is also corrosive to our democratic ideal.","Obamacare is the Democrats' problem.","Obamacare is the Democrats' problem.","Our drug industry has been disastrous.","Our drug industry has been disastrous.","We want to deter, avoid and prevent conflict through our unquestioned military strength."
"106","While the top 1 percent has amassed a bigger share of wealth and income, too many of our families, in inner cities and in rural counties, have been left behind—the laid off factory worker, the waitress or health care worker who's just barely getting by and struggling to pay the bills—convinced that the game is fixed against them, that their Government only serves the interests of the powerful.","It's because of him that I learned, from my youngest age, to respect the dignity of work and the dignity of working people.","We will rescue kids from failing schools by helping their parents send them to a safe school of their choice.","We're in many, many countries and I'm very proud of it.","To my sisters Mary Anne and Elizabeth, my brother Robert and my late brother Fred, I will always give you my love you are most special to me.","Americans want great schools for their children, safe neighborhoods for their families, and good jobs for themselves."
"107","That's a recipe for more cynicism and polarization in our politics.","And that in particular African- American and Latino workers who are being shut out in this process so unfairly.","He was a guy most comfortable in the company of bricklayers, carpenters, and electricians and I have a lot of that in me also.","And Hillary Clinton is going to do nothing for the African- American worker, the Latino worker.","We're going to get health care taken care of in this country.","We're going to get health care taken care of in this country."
"108","But there are no quick fixes to this long-term trend.","But I will tell you that should never ever happen.","I think a lot of industries are going to be coming back.","We had so many incredible people coming here.","We have to get our drug industry coming back.","And every time I meet people are reading about it."
"109","I agree, our trade should be fair and not just free.","To all those who have served this nation, I say: I will never let you down.","To all those who have served this nation, I say: I will never let you down.","We've admitted 59 million immigrants to the United States between 1965 and 2015.","Let me tell you who it does not serve.","Let me tell you who it does not serve."
"110","But the next wave of economic dislocations won't come from overseas.","We will expand and revitalize the popular 287 partnerships, which will help to identify hundreds of thousands of deportable aliens in local jails that we don't even know about.","So many people, so many, many people.","Don't forget our vets.","We will expand and revitalize the popular 287 partnerships, which will help to identify hundreds of thousands of deportable aliens in local jails that we don't even know about.","It's not going to work that way."
"111","It will come from the relentless pace of automation that makes a lot of good, middle class jobs obsolete.","On top of that she promises uncontrolled, low-skilled immigration that continues to reduce jobs and wages for American workers, and especially for African-American and Hispanic workers within our country.","On top of that she promises uncontrolled, low-skilled immigration that continues to reduce jobs and wages for American workers, and especially for African-American and Hispanic workers within our country.","These are valid concerns expressed by decent and patriotic citizens from all backgrounds, all over.","These are valid concerns expressed by decent and patriotic citizens from all backgrounds, all over.","And that in particular African- American and Latino workers who are being shut out in this process so unfairly."
"112","And so we're going to have to forge a new social compact to guarantee all our kids the education they need, to give workers the power to unionize for better wages, to update the social safety net to reflect the way we live now, and make more reforms to the Tax Code so corporations and individuals who reap the most from this new economy don't avoid their obligations to the country that's made their very success possible.","And that in particular African- American and Latino workers who are being shut out in this process so unfairly.","They supply our drugs, but they don't make them here, to a large extent.","You have deductibles that are so high that after people go broke paying their premiums, which are going through the roof, the health care can't even be used by them because the deductibles are so high.","On top of that she promises uncontrolled, low-skilled immigration that continues to reduce jobs and wages for American workers, and especially for African-American and Hispanic workers within our country.","OK."
"113","We can argue about how to best achieve these goals.","I choose to recite a different pledge.","My pledge reads: I'M WITH YOU – THE AMERICAN PEOPLE.","Well, if I could save jobs.","Together we can save American lives, American jobs, and American futures.","Together we can save America itself."
"114","But we can't be complacent about the goals themselves.","She was invited.","She was invited.","Go ahead.","He won't be doing it.","their triumphs have not been your triumphs;"
"115","For if we don't create opportunity for all people, the disaffection and division that has stalled our progress will only sharpen in years to come.","So, I said let's go and have some fun tonight.","So, I said let's go and have some fun tonight.","Lindsey Graham, I've been competing with him for a long time.","Lindsey Graham, I've been competing with him for a long time.","Number one, are you ready?"
"116","There's a second threat to our democracy, and this one is as old as our Nation itself.","But to fix our immigration system, we must change our leadership in Washington and we must change it quickly.","We want fairness.","We want fairness.","We will no longer accept politicians who are all talk and no action, constantly complaining, but never doing anything about it.","I am proposing a new foreign policy focused on advancing America’s core national interests, promoting regional stability, and producing an easing of tensions in the world."
"117","After my election, there was talk of a postracial America.","But that is the past.","After four years of Hillary Clinton, what do we have?","And across.","ISIS has spread across the region, and the world.","Go ahead."
"118","And such a vision, however well intended, was never realistic.","Number one, are you ready?","This is our last time.","This is our last time.","Wait, wait, wait.","Wait, wait, wait."
"119","Race remains a potent and often divisive force in our society.","The attacks on our police, and the terrorism in our cities, threaten our very way of life.","Meanwhile, China has grown more aggressive, and North Korea more dangerous and belligerent.","No challenge can match the heart and fight and spirit of America.","We want to deter, avoid and prevent conflict through our unquestioned military strength.","Zero tolerance for criminal aliens."
"120","Now, I've lived long enough to know that race relations are better than they were 10 or 20 or 30 years ago, no matter what some folks say.","It belongs to everyone gathered here today and everyone watching all across America.","Does anyone really believe that story?","These are amazing women.","These are amazing women.","Instead, we must choose to Believe In America."
"121","You can see it not just in statistics, you see it in the attitudes of young Americans across the political spectrum.","That all changes, starting right here and right now, because this moment is your moment: It belongs to you.","It belongs to everyone gathered here today and everyone watching all across America.","and while they celebrated in our Nation's Capital, there was little to celebrate for struggling families all across our land.","I am going to ask -- these are really special people that I've gotten to know.","This is your day."
"122","But we're not where we need to be.","Hard to believe with the power we have.","Hard to believe.","Hard to believe with the power we have.","But they are alone no longer.","Thank you."
"123","And all of us have more work to do.","And those were programs that worked.","OK.","They're leaving left and right.","You've been reading about it.","Fast-forward to today."
"124","If every economic issue is framed as a struggle between a hardworking white middle class and an undeserving minority, then workers of all shades are going to be left fighting for scraps while the wealthy withdraw further into their private enclaves.","Doesn't that sound nice?","And those were programs that worked.","They're leaving left and right.","You've been reading about it.","Thank you."
"125","If we're unwilling to invest in the children of immigrants, just because they don't look like us, we will diminish the prospects of our own children, because those Brown kids will represent a larger and larger share of America's workforce.","And to establish new immigration controls to boost wages and to ensure that open jobs are offered to American workers first.","Thank you.","On top of that she promises uncontrolled, low-skilled immigration that continues to reduce jobs and wages for American workers, and especially for African-American and Hispanic workers within our country.","They're leaving left and right.","They supply our drugs, but they don't make them here, to a large extent."
